date,average_temperature,rainfall,weekend,holiday,price_per_kg,promo,demand,previous_days_demand
2019-05-30 08:36:19.870059,30.58472685635918,2.1558798229279916,0,0,1.331689514349864,0,893.6142640407959,893.6142640407959
2019-05-31 08:36:19.870057,15.4650686212835,1.4051876261242646,0,0,1.0941414508469531,0,923.8412328341083,893.6142640407959
2019-06-01 08:36:19.870055,10.786525222541337,2.205087918618643,1,0,0.7250928887816128,0,1272.3695857055434,923.8412328341083
2019-06-02 08:36:19.870053,23.64815416797147,1.9684144765926583,1,0,0.8724758452413962,1,1374.303689148071,1272.3695857055434
2019-06-03 08:36:19.870051,13.861390511387913,12.034116944149389,0,0,0.8332421055154731,0,1002.0094465402351,1374.303689148071
2019-06-04 08:36:19.870049,14.674082315677506,6.469620660516524,0,0,2.7489929814805927,0,883.9419596777111,1002.0094465402351
2019-06-05 08:36:19.870048,20.55869234062945,2.9265437149575813,0,0,2.341469676864954,0,863.9182449065923,883.9419596777111
2019-06-06 08:36:19.870046,25.138812487847655,2.1342313647763493,0,0,2.4338558968752055,0,952.9235788004597,863.9182449065923
2019-06-07 08:36:19.870044,22.30885280018967,3.707233112966657,0,0,0.7050987001715623,0,996.3614415888532,952.9235788004597
2019-06-08 08:36:19.870042,26.102976692730103,5.952156102164837,1,0,1.4600142868643025,0,1261.6815710313783,996.3614415888532
2019-06-09 08:36:19.870040,32.82623697937525,3.7039681520057006,1,0,0.8292435150795756,1,1515.3503703641147,1261.6815710313783
2019-06-10 08:36:19.870038,29.277602732211943,4.9842922385794095,0,0,1.1611177361721738,0,871.8540692719724,1515.3503703641147
2019-06-11 08:36:19.870036,17.209030485013248,6.588971590480711,0,0,2.6722869320356093,0,890.4162803370072,871.8540692719724
2019-06-12 08:36:19.870034,20.386033601349524,4.3724401480713535,0,0,0.6571405018025842,1,1159.1184383815407,890.4162803370072
2019-06-13 08:36:19.870032,18.287260881604418,0.4913162592728141,0,0,1.478948119059645,0,920.9810803232406,1159.1184383815407
2019-06-14 08:36:19.870031,19.158167368548924,6.801193844230841,0,0,2.286714097984963,0,784.1009794023591,920.9810803232406
2019-06-15 08:36:19.870029,17.804883447934753,3.5002725059869784,1,0,2.1169016389348423,0,1171.0034748862884,784.1009794023591
2019-06-16 08:36:19.870027,24.511146065573193,5.638488322390049,1,0,0.6532696342039708,1,1482.3902980139717,1171.0034748862884
2019-06-17 08:36:19.870025,12.823793208510217,6.068008825015136,0,0,2.6250781002169896,0,881.8466213655709,1482.3902980139717
2019-06-18 08:36:19.870023,18.146871489687292,3.4545804785910184,0,1,2.0510489465765476,1,1025.1177409113477,881.8466213655709
2019-06-19 08:36:19.870022,31.31823682512207,0.9218892558139715,0,0,2.352006156766861,1,1030.8349829301565,1025.1177409113477
2019-06-20 08:36:19.870020,14.150638744238305,3.061653543747525,0,0,1.345697083417492,0,1001.568044086546,1030.8349829301565
2019-06-21 08:36:19.870018,22.06195833556687,1.220422861307466,0,0,1.8477107236715828,0,858.5028960413239,1001.568044086546
